no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber,panjang_soal,panjang_jawaban,panjang_konteks,kata_soal,kata_jawaban,jenis_pertanyaan,kompleksitas
22,adaptasi makhluk hidup,tumbuhan adaptif,sebutkan contoh tumbuhan yang beradaptasi pada lingkungan kering atau air!,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,74,49,55,10,7,sebutkan,Sedang
23,adaptasi makhluk hidup,tumbuhan adaptif,apa contoh tumbuhan yang beradaptasi pada lingkungan kering atau air?,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,69,49,55,10,7,apa,Sedang
24,adaptasi makhluk hidup,tumbuhan adaptif,tuliskan contoh tumbuhan yang hidup di lingkungan kering atau air!,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/,66,49,55,10,7,lainnya,Sedang
25,adaptasi makhluk hidup,penyesuaian hewan untuk bertahan hidup,kenapa hewan perlu menyesuaikan diri dengan lingkungannya?,"hewan perlu menyesuaikan diri agar bisa bertahan hidup, mendapatkan makanan, dan melindungi diri dari perubahan lingkungan. setiap hewan memiliki bentuk tubuh atau perilaku yang membantu mereka hidup di tempat tertentu.",pinguin memiliki bulu tebal dan lapisan lemak di bawah kulit sehingga tidak kedinginan saat hidup di daerah kutub yang sangat dingin. hal ini menunjukkan bahwa tubuh hewan memang menyesuaikan diri dengan tempat hidupnya supaya tetap bisa bertahan walaupun kondisi lingkungan berubah.,"hewan perlu menyesuaikan diri dengan lingkungan agar dapat bertahan hidup. adaptasi membantu hewan mendapatkan makanan, melindungi diri dari bahaya, dan tetap hidup meskipun kondisi habitat berbeda-beda.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,58,219,203,7,30,lainnya,Sedang
26,adaptasi makhluk hidup,penyesuaian hewan untuk bertahan hidup,apa alasan hewan perlu menyesuaikan diri dengan lingkungannya?,"hewan perlu menyesuaikan diri agar bisa bertahan hidup, mendapatkan makanan, dan melindungi diri dari perubahan lingkungan. setiap hewan memiliki bentuk tubuh atau perilaku yang membantu mereka hidup di tempat tertentu.",pinguin memiliki bulu tebal dan lapisan lemak di bawah kulit sehingga tidak kedinginan saat hidup di daerah kutub yang sangat dingin. hal ini menunjukkan bahwa tubuh hewan memang menyesuaikan diri dengan tempat hidupnya supaya tetap bisa bertahan walaupun kondisi lingkungan berubah.,"hewan perlu menyesuaikan diri dengan lingkungan agar dapat bertahan hidup. adaptasi membantu hewan mendapatkan makanan, melindungi diri dari bahaya, dan tetap hidup meskipun kondisi habitat berbeda-beda.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,62,219,203,8,30,apa,Sedang
27,adaptasi makhluk hidup,penyesuaian hewan untuk bertahan hidup,mengapa hewan perlu menyesuaikan diri dengan lingkungannya?,"hewan perlu menyesuaikan diri agar bisa bertahan hidup, mendapatkan makanan, dan melindungi diri dari perubahan lingkungan. setiap hewan memiliki bentuk tubuh atau perilaku yang membantu mereka hidup di tempat tertentu.",pinguin memiliki bulu tebal dan lapisan lemak di bawah kulit sehingga tidak kedinginan saat hidup di daerah kutub yang sangat dingin. hal ini menunjukkan bahwa tubuh hewan memang menyesuaikan diri dengan tempat hidupnya supaya tetap bisa bertahan walaupun kondisi lingkungan berubah.,"hewan perlu menyesuaikan diri dengan lingkungan agar dapat bertahan hidup. adaptasi membantu hewan mendapatkan makanan, melindungi diri dari bahaya, dan tetap hidup meskipun kondisi habitat berbeda-beda.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,59,219,203,7,30,mengapa,Sedang
28,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,kenapa bentuk paruh burung berbeda-beda?,"bentuk paruh burung berbeda-beda karena menyesuaikan jenis makanan dan cara mendapatkannya. ada paruh untuk mengoyak, ada yang untuk memakan biji, dan ada juga yang untuk mengisap nektar.","elang memakai paruh runcing untuk mengoyak mangsa, kolibri memakai paruh panjang dan runcing untuk mengisap nektar, sedangkan pipit memakai paruh pendek untuk memakan biji-bijian. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,40,187,183,5,27,lainnya,Mudah
29,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,apa alasan bentuk paruh burung berbeda-beda?,"bentuk paruh burung berbeda-beda karena menyesuaikan jenis makanan dan cara mendapatkannya. ada paruh untuk mengoyak, ada yang untuk memakan biji, dan ada juga yang untuk mengisap nektar.","elang memakai paruh runcing untuk mengoyak mangsa, kolibri memakai paruh panjang dan runcing untuk mengisap nektar, sedangkan pipit memakai paruh pendek untuk memakan biji-bijian. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,44,187,183,6,27,apa,Mudah
30,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,mengapa bentuk paruh burung berbeda-beda?,"bentuk paruh burung berbeda-beda karena menyesuaikan jenis makanan dan cara mendapatkannya. ada paruh untuk mengoyak, ada yang untuk memakan biji, dan ada juga yang untuk mengisap nektar.","elang memakai paruh runcing untuk mengoyak mangsa, kolibri memakai paruh panjang dan runcing untuk mengisap nektar, sedangkan pipit memakai paruh pendek untuk memakan biji-bijian. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,41,187,183,5,27,mengapa,Mudah
31,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,kenapa kaki bebek berselaput?,kaki bebek berselaput supaya bebek mudah berenang dan tidak tenggelam saat mencari makan di tempat berlumpur. selaput pada kaki membantu bebek mendorong air atau lumpur saat bergerak.,"saat bebek berjalan di tanah becek, kakinya tidak mudah terperosok karena bentuk kakinya memang cocok untuk lingkungan berlumpur. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,29,183,183,4,27,lainnya,Mudah
32,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,apa alasan kaki bebek berselaput?,kaki bebek berselaput supaya bebek mudah berenang dan tidak tenggelam saat mencari makan di tempat berlumpur. selaput pada kaki membantu bebek mendorong air atau lumpur saat bergerak.,"saat bebek berjalan di tanah becek, kakinya tidak mudah terperosok karena bentuk kakinya memang cocok untuk lingkungan berlumpur. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,33,183,183,5,27,apa,Mudah
33,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,mengapa kaki bebek berselaput?,kaki bebek berselaput supaya bebek mudah berenang dan tidak tenggelam saat mencari makan di tempat berlumpur. selaput pada kaki membantu bebek mendorong air atau lumpur saat bergerak.,"saat bebek berjalan di tanah becek, kakinya tidak mudah terperosok karena bentuk kakinya memang cocok untuk lingkungan berlumpur. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,30,183,183,4,27,mengapa,Mudah
34,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,bagaimana kelelawar bisa mencari makan di malam hari tanpa menabrak benda?,"kelelawar memiliki pendengaran yang sangat tajam sehingga dapat mengetahui posisi mangsa dan benda di depannya. karena itu, kelelawar dapat terbang dan mencari makanan di malam hari meskipun suasananya gelap.","saat malam hari, kelelawar tetap bisa terbang cepat di antara pepohonan tanpa menabrak cabang karena peka terhadap suara di sekitarnya. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,74,208,183,11,29,bagaimana,Kompleks
35,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,jelaskan bagaimana kelelawar bisa mencari makan di malam hari tanpa menabrak benda.,"kelelawar memiliki pendengaran yang sangat tajam sehingga dapat mengetahui posisi mangsa dan benda di depannya. karena itu, kelelawar dapat terbang dan mencari makanan di malam hari meskipun suasananya gelap.","saat malam hari, kelelawar tetap bisa terbang cepat di antara pepohonan tanpa menabrak cabang karena peka terhadap suara di sekitarnya. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,83,208,183,12,29,jelaskan,Kompleks
36,adaptasi makhluk hidup,penyesuaian hewan untuk memperoleh makanan,ceritakan bagaimana kelelawar bisa mencari makan di malam hari tanpa menabrak benda.,"kelelawar memiliki pendengaran yang sangat tajam sehingga dapat mengetahui posisi mangsa dan benda di depannya. karena itu, kelelawar dapat terbang dan mencari makanan di malam hari meskipun suasananya gelap.","saat malam hari, kelelawar tetap bisa terbang cepat di antara pepohonan tanpa menabrak cabang karena peka terhadap suara di sekitarnya. hal ini menunjukkan bahwa bentuk tubuh hewan sangat berhubungan dengan jenis makanan yang tersedia di habitatnya dan cara mereka mendapatkannya.","bentuk tubuh hewan sering disesuaikan dengan jenis makanan dan cara mendapatkannya. karena itu, paruh, kaki, atau bagian tubuh lain dapat berbeda sesuai lingkungan tempat hewan hidup.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,84,208,183,12,29,lainnya,Kompleks
37,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,bagaimana cumi-cumi melindungi diri dari musuh?,cumi-cumi melindungi diri dengan mengeluarkan cairan hitam seperti tinta saat diserang musuh. cairan itu membuat air menjadi keruh sehingga musuh tidak dapat melihatnya lagi dan cumi-cumi bisa melarikan diri.,"jika cumi-cumi merasa terancam, ia mengeluarkan tinta hitam lalu bergerak cepat menjauh sebelum musuh menemukannya kembali. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,47,208,158,6,29,bagaimana,Mudah
38,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,jelaskan bagaimana cumi-cumi melindungi diri dari musuh.,cumi-cumi melindungi diri dengan mengeluarkan cairan hitam seperti tinta saat diserang musuh. cairan itu membuat air menjadi keruh sehingga musuh tidak dapat melihatnya lagi dan cumi-cumi bisa melarikan diri.,"jika cumi-cumi merasa terancam, ia mengeluarkan tinta hitam lalu bergerak cepat menjauh sebelum musuh menemukannya kembali. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,56,208,158,7,29,jelaskan,Sedang
39,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,ceritakan bagaimana cumi-cumi melindungi diri dari musuh.,cumi-cumi melindungi diri dengan mengeluarkan cairan hitam seperti tinta saat diserang musuh. cairan itu membuat air menjadi keruh sehingga musuh tidak dapat melihatnya lagi dan cumi-cumi bisa melarikan diri.,"jika cumi-cumi merasa terancam, ia mengeluarkan tinta hitam lalu bergerak cepat menjauh sebelum musuh menemukannya kembali. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,57,208,158,7,29,lainnya,Sedang
40,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,apa itu mimikri pada bunglon?,"mimikri adalah kemampuan bunglon mengubah warna kulitnya sesuai dengan lingkungan. dengan cara ini, bunglon dapat menyamarkan diri agar sulit terlihat oleh musuh.",bunglon yang berada di daun hijau bisa berubah warna menjadi kehijauan sehingga tampak menyatu dengan lingkungannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.,"hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,29,162,158,5,22,apa,Mudah
41,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,apa yang dimaksud dengan mimikri pada bunglon?,"mimikri adalah kemampuan bunglon mengubah warna kulitnya sesuai dengan lingkungan. dengan cara ini, bunglon dapat menyamarkan diri agar sulit terlihat oleh musuh.",bunglon yang berada di daun hijau bisa berubah warna menjadi kehijauan sehingga tampak menyatu dengan lingkungannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.,"hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,46,162,158,7,22,apa,Sedang
42,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,bisakah kamu menjelaskan mimikri pada bunglon?,"mimikri adalah kemampuan bunglon mengubah warna kulitnya sesuai dengan lingkungan. dengan cara ini, bunglon dapat menyamarkan diri agar sulit terlihat oleh musuh.",bunglon yang berada di daun hijau bisa berubah warna menjadi kehijauan sehingga tampak menyatu dengan lingkungannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.,"hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,46,162,158,6,22,lainnya,Mudah
43,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,kenapa cecak bisa memutuskan ekornya?,"cecak memutuskan ekornya untuk mengelabuhi musuh dan menyelamatkan diri. saat musuh tertarik pada ekor yang masih bergerak, cecak bisa segera melarikan diri.","ketika seekor cecak dikejar kucing, ekornya dapat putus lalu bergerak beberapa saat sehingga kucing teralihkan perhatiannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,37,157,158,5,22,lainnya,Mudah
44,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,apa alasan cecak bisa memutuskan ekornya?,"cecak memutuskan ekornya untuk mengelabuhi musuh dan menyelamatkan diri. saat musuh tertarik pada ekor yang masih bergerak, cecak bisa segera melarikan diri.","ketika seekor cecak dikejar kucing, ekornya dapat putus lalu bergerak beberapa saat sehingga kucing teralihkan perhatiannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,41,157,158,6,22,apa,Mudah
45,adaptasi makhluk hidup,penyesuaian hewan untuk melindungi diri,mengapa cecak bisa memutuskan ekornya?,"cecak memutuskan ekornya untuk mengelabuhi musuh dan menyelamatkan diri. saat musuh tertarik pada ekor yang masih bergerak, cecak bisa segera melarikan diri.","ketika seekor cecak dikejar kucing, ekornya dapat putus lalu bergerak beberapa saat sehingga kucing teralihkan perhatiannya. cara ini membantu hewan menghindari musuh dan membuat peluang hidup mereka lebih besar di alam.","hewan memiliki berbagai cara untuk melindungi diri dari musuh. kemampuan seperti kamuflase, tinta, atau memutuskan ekor membantu hewan bertahan hidup di alam.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,38,157,158,5,22,mengapa,Mudah
46,adaptasi makhluk hidup,penyesuaian tumbuhan untuk bertahan hidup,kenapa kaktus memiliki daun berbentuk duri?,kaktus memiliki daun berbentuk duri untuk mengurangi penguapan air di lingkungan yang panas dan kering. batangnya juga tebal untuk menyimpan air agar kaktus tetap hidup saat cuaca sangat kering.,"kaktus di gurun tetap bertahan meskipun jarang hujan karena air disimpan di batangnya dan daunnya tidak lebar seperti tumbuhan biasa. adaptasi seperti ini membuat tumbuhan lebih tahan terhadap panas, kekeringan, atau kondisi lingkungan lain yang kurang mendukung.","tumbuhan juga beradaptasi agar tetap hidup di lingkungan yang panas, kering, atau berair. adaptasi membantu tumbuhan menghemat air, menyimpan cadangan, dan mendapatkan cahaya matahari.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,43,194,184,6,29,lainnya,Mudah
47,adaptasi makhluk hidup,penyesuaian tumbuhan untuk bertahan hidup,apa alasan kaktus memiliki daun berbentuk duri?,kaktus memiliki daun berbentuk duri untuk mengurangi penguapan air di lingkungan yang panas dan kering. batangnya juga tebal untuk menyimpan air agar kaktus tetap hidup saat cuaca sangat kering.,"kaktus di gurun tetap bertahan meskipun jarang hujan karena air disimpan di batangnya dan daunnya tidak lebar seperti tumbuhan biasa. adaptasi seperti ini membuat tumbuhan lebih tahan terhadap panas, kekeringan, atau kondisi lingkungan lain yang kurang mendukung.","tumbuhan juga beradaptasi agar tetap hidup di lingkungan yang panas, kering, atau berair. adaptasi membantu tumbuhan menghemat air, menyimpan cadangan, dan mendapatkan cahaya matahari.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,47,194,184,7,29,apa,Sedang
